Comunidades,Longitud,Latitud,Ventas 2019,Ventas 2020,Ventas 2021
CATALUÑA,-4.57619759928521,37.4681178570892,12754.8249,20617.8176,24785.3368
ARAGÓN,-0.665188363252903,41.5139247146545,2680.0658,4796.4761,5897.3986
ILLES BALEARS,-5.99327675127265,43.2937220828477,1571.36175,2699.8065,3089.12619
COMUNITAT VALENCIANA,2.90480293180095,39.5736869066881,5392.3392,9282.4089,11334.5155
REGIÓN DE MURCIA,-15.6703443955745,28.3501719765776,1746.36114,3524.32453,3376.63014
ANDALUCÍA,-4.03212552496074,43.1971511768274,15240.337,22637.3333,28513.9313
COMUNIDAD DE MADRID,-4.78484344919995,41.7521468123472,12239.1256,19836.0152,23640.2594
CASTILLA - LA MANCHA,-3.00638893532113,39.577577660364,2345.6232,4956.5692,6014.007
EXTREMADURA,1.5243542306751,41.797427299488,1330.49318,2312.3992,3541.3682
CASTILLA Y LEÓN,-0.557814181118517,39.3950044279987,3307.7258,6949.3323,8776.0117
GALICIA,-6.15132249142922,39.1877394661092,1188.74653,3055.74758,3659.49205
PRINCIPADO DE ASTURIAS,-7.91087207569347,42.7547472692852,1075.81386,1951.70045,2569.46837
CANTABRIA,-3.71679674194616,40.494566396543,915.28142,1177.19265,1700.3784
PAIS VASCO,-1.48537547094598,38.0012558520825,2259.9413,4993.3937,8525.8415
LA RIOJA,-1.64778049397349,42.6666457550456,430.48536,933.357585,1078.99886
C. FORAL DE NAVARRA,-2.61690349909685,43.0432512002306,1294.34621,1846.2318,1764.70445
CANARIAS,-2.5164092074648,42.2752992031491,3203.1428,4524.22295,5005.2866
