Provincia;Geo Point
CATALUÑA;41.7310008895, 1.98405401772
ARAGÓN;41.6203648019, -1.06449678144
ILLES BALEARS;39.5751889864, 2.91229172079
COMUNITAT VALENCIANA;39.3702562375, -0.800789615081
REGIÓN DE MURCIA;38.0023681653, -1.48575629332
ANDALUCÍA;37.1960852121, -2.3448128003
COMUNIDAD DE MADRID;40.4950873744, -3.71704619215
CASTILLA - LA MANCHA;39.7937341614, -4.14815562595
EXTREMADURA;39.7118899607, -6.16082194997
CASTILLA Y LEÓN;41.6341260695, -4.84719141141
GALICIA;39.7118899607, -6.16082194997
PRINCIPADO DE ASTURIAS;43.292357861, -5.99350932547
CANTABRIA;43.1975220484, -4.03002122038
PAIS VASCO;43.2376797057, -2.85260007926
LA RIOJA;42.2748706958, -2.5170441194
C. FORAL DE NAVARRA;42.6672011509, -1.64611414443
CANARIAS;28.3125567678, -17.017856743
