Comunidades y Ciudades Autónomas;Renta anual neta media por hogar;Periodo;Total
Total Nacional;Renta neta media por hogar;2021;30.552
Total Nacional;Renta neta media por hogar;2020;30.690
Total Nacional;Renta neta media por hogar;2019;29.132
Total Nacional;Renta neta media por hogar;2018;28.417
Total Nacional;Renta neta media por hogar;2017;27.558
01 Andalucía;Renta neta media por hogar;2021;25.601
01 Andalucía;Renta neta media por hogar;2020;25.909
01 Andalucía;Renta neta media por hogar;2019;23.826
01 Andalucía;Renta neta media por hogar;2018;24.091
01 Andalucía;Renta neta media por hogar;2017;23.699
02 Aragón;Renta neta media por hogar;2021;32.067
02 Aragón;Renta neta media por hogar;2020;31.529
02 Aragón;Renta neta media por hogar;2019;29.672
02 Aragón;Renta neta media por hogar;2018;28.886
02 Aragón;Renta neta media por hogar;2017;29.098
03 Asturias, Principado de;Renta neta media por hogar;2021;28.369
03 Asturias, Principado de;Renta neta media por hogar;2020;28.284
03 Asturias, Principado de;Renta neta media por hogar;2019;27.897
03 Asturias, Principado de;Renta neta media por hogar;2018;27.069
03 Asturias, Principado de;Renta neta media por hogar;2017;27.454
04 Balears, Illes;Renta neta media por hogar;2021;29.368
04 Balears, Illes;Renta neta media por hogar;2020;33.115
04 Balears, Illes;Renta neta media por hogar;2019;32.179
04 Balears, Illes;Renta neta media por hogar;2018;34.007
04 Balears, Illes;Renta neta media por hogar;2017;32.163
05 Canarias;Renta neta media por hogar;2021;26.392
05 Canarias;Renta neta media por hogar;2020;25.855
05 Canarias;Renta neta media por hogar;2019;24.565
05 Canarias;Renta neta media por hogar;2018;23.048
05 Canarias;Renta neta media por hogar;2017;22.790
06 Cantabria;Renta neta media por hogar;2021;30.447
06 Cantabria;Renta neta media por hogar;2020;30.309
06 Cantabria;Renta neta media por hogar;2019;29.144
06 Cantabria;Renta neta media por hogar;2018;26.888
06 Cantabria;Renta neta media por hogar;2017;27.024
07 Castilla y León;Renta neta media por hogar;2021;28.890
07 Castilla y León;Renta neta media por hogar;2020;29.125
07 Castilla y León;Renta neta media por hogar;2019;27.679
07 Castilla y León;Renta neta media por hogar;2018;27.665
07 Castilla y León;Renta neta media por hogar;2017;26.113
08 Castilla - La Mancha;Renta neta media por hogar;2021;26.060
08 Castilla - La Mancha;Renta neta media por hogar;2020;26.722
08 Castilla - La Mancha;Renta neta media por hogar;2019;24.853
08 Castilla - La Mancha;Renta neta media por hogar;2018;24.401
08 Castilla - La Mancha;Renta neta media por hogar;2017;23.159
09 Cataluña;Renta neta media por hogar;2021;34.982
09 Cataluña;Renta neta media por hogar;2020;35.030
09 Cataluña;Renta neta media por hogar;2019;33.321
09 Cataluña;Renta neta media por hogar;2018;32.763
09 Cataluña;Renta neta media por hogar;2017;31.411
10 Comunitat Valenciana;Renta neta media por hogar;2021;27.603
10 Comunitat Valenciana;Renta neta media por hogar;2020;27.948
10 Comunitat Valenciana;Renta neta media por hogar;2019;26.176
10 Comunitat Valenciana;Renta neta media por hogar;2018;25.207
10 Comunitat Valenciana;Renta neta media por hogar;2017;24.034
11 Extremadura;Renta neta media por hogar;2021;22.947
11 Extremadura;Renta neta media por hogar;2020;22.250
11 Extremadura;Renta neta media por hogar;2019;21.611
11 Extremadura;Renta neta media por hogar;2018;21.006
11 Extremadura;Renta neta media por hogar;2017;20.395
12 Galicia;Renta neta media por hogar;2021;27.698
12 Galicia;Renta neta media por hogar;2020;27.862
12 Galicia;Renta neta media por hogar;2019;27.541
12 Galicia;Renta neta media por hogar;2018;27.658
12 Galicia;Renta neta media por hogar;2017;26.533
13 Madrid, Comunidad de;Renta neta media por hogar;2021;37.687
13 Madrid, Comunidad de;Renta neta media por hogar;2020;37.051
13 Madrid, Comunidad de;Renta neta media por hogar;2019;35.587
13 Madrid, Comunidad de;Renta neta media por hogar;2018;33.055
13 Madrid, Comunidad de;Renta neta media por hogar;2017;32.451
14 Murcia, Región de;Renta neta media por hogar;2021;27.027
14 Murcia, Región de;Renta neta media por hogar;2020;26.925
14 Murcia, Región de;Renta neta media por hogar;2019;24.448
14 Murcia, Región de;Renta neta media por hogar;2018;24.801
14 Murcia, Región de;Renta neta media por hogar;2017;23.574
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2021;38.086
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2020;37.728
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2019;34.612
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2018;33.556
15 Navarra, Comunidad Foral de;Renta neta media por hogar;2017;33.431
16 País Vasco;Renta neta media por hogar;2021;36.887
16 País Vasco;Renta neta media por hogar;2020;37.598
16 País Vasco;Renta neta media por hogar;2019;36.399
16 País Vasco;Renta neta media por hogar;2018;35.049
16 País Vasco;Renta neta media por hogar;2017;34.203
17 Rioja, La;Renta neta media por hogar;2021;30.598
17 Rioja, La;Renta neta media por hogar;2020;32.096
17 Rioja, La;Renta neta media por hogar;2019;30.162
17 Rioja, La;Renta neta media por hogar;2018;28.549
17 Rioja, La;Renta neta media por hogar;2017;28.775
18 Ceuta;Renta neta media por hogar;2021;31.494
18 Ceuta;Renta neta media por hogar;2020;28.824
18 Ceuta;Renta neta media por hogar;2019;30.432
18 Ceuta;Renta neta media por hogar;2018;28.700
18 Ceuta;Renta neta media por hogar;2017;29.117
19 Melilla;Renta neta media por hogar;2021;36.038
19 Melilla;Renta neta media por hogar;2020;37.138
19 Melilla;Renta neta media por hogar;2019;37.552
19 Melilla;Renta neta media por hogar;2018;41.714
19 Melilla;Renta neta media por hogar;2017;34.089
